id,type,src,dst,app,latency,message,ctime,size,buffer
10014,LINK,55,2,7,5.000055566026667,M.USER.APP.7,63837,4167452,1
10013,LINK,2,100,14,1.000035103664,M.USER.APP.14,63840.000058506106,4387958,1
10014,LINK,2,100,7,1.000033339616,M.USER.APP.7,63842.00005556603,4167452,0
9993,LINK,34,12,15,5.0000341760666664,15_(82-84),63843.777799806725,2563205,0
9993,LINK,12,2,15,5.0000341760666664,15_(82-84),63848.77783398279,2563205,0
10016,LINK,55,2,13,5.00002695276,M.USER.APP.13,63851,2021457,1
9993,LINK,2,100,15,1.00002050564,15_(82-84),63853.77786815886,2563205,1
10016,LINK,2,100,13,1.000016171656,M.USER.APP.13,63856.00002695276,2021457,0
10017,LINK,93,34,15,5.000022028946667,M.USER.APP.15,63857,1652171,1
10018,LINK,55,2,4,5.000039555493333,M.USER.APP.4,63858,2966662,1
10001,LINK,52,5,14,5.000029359893333,14_(76-79),63858.37630662021,2201992,2
10019,LINK,38,7,3,5.000030384773333,M.USER.APP.3,63860,2278858,3
10020,LINK,67,19,11,5.000021404866667,M.USER.APP.11,63862,1605365,4
10018,LINK,2,100,4,1.000023733296,M.USER.APP.4,63863.000039555496,2966662,3
10001,LINK,5,2,14,5.000029359893333,14_(76-79),63863.3763359801,2201992,3
10020,LINK,19,2,11,5.000021404866667,M.USER.APP.11,63867.00002140486,1605365,1
10001,LINK,2,100,14,1.000017615936,14_(76-79),63868.376365339995,2201992,1
