id,type,src,dst,app,latency,message,ctime,size,buffer,path,shiftime
93,LINK,3,11,2,10.000003,M.USER.APP.2,1089,30,2,"[3, 11, 35, 106]",0.0
94,LINK,4,1,3,5.000004,M.USER.APP.3,1089,20,3,"[4, 1, 0, 2, 9, 30, 91]",0.0
95,LINK,5,1,4,4.000005,M.USER.APP.4,1089,20,4,"[5, 1, 0, 3, 10, 31, 94]",0.0
96,LINK,6,20,5,3.000004,M.USER.APP.5,1089,12,5,"[6, 20, 61]",0.0
96,LINK,20,61,5,2.000006,M.USER.APP.5,1092.000004,12,5,"[6, 20, 61]",0.0
95,LINK,1,0,4,7.000002857142857,M.USER.APP.4,1093.000005,20,5,"[5, 1, 0, 3, 10, 31, 94]",2.9999978571427164
92,LINK,0,1,1,7.000002857142857,M.USER.APP.1,1094.000004,20,4,"[2, 0, 1, 4, 13, 42]",0.0
94,LINK,1,0,3,7.000002857142857,M.USER.APP.3,1094.000004,20,5,"[4, 1, 0, 2, 9, 30, 91]",9.000001714285645
96,LINK,61,20,5,2.0000205,5_(0-6),1095.5000099999997,41,5,"[61, 20, 6]",0.0
91,LINK,0,3,0,7.000002857142857,M.USER.APP.0,1096.0000028571428,20,5,"[1, 0, 3, 12, 37, 113]",0.0
96,LINK,20,6,5,3.000013666666667,5_(0-6),1097.5000304999996,41,5,"[61, 20, 6]",0.0
93,LINK,11,35,2,2.000015,M.USER.APP.2,1099.000003,30,5,"[3, 11, 35, 106]",0.0
92,LINK,1,4,1,5.000004,M.USER.APP.1,1101.0000068571428,20,4,"[2, 0, 1, 4, 13, 42]",0.0
93,LINK,35,106,2,7.000004285714286,M.USER.APP.2,1101.0000180000002,30,4,"[3, 11, 35, 106]",0.0
95,LINK,0,3,4,7.000002857142857,M.USER.APP.4,1103.0000057142856,20,3,"[5, 1, 0, 3, 10, 31, 94]",0.0
91,LINK,3,12,0,2.00001,M.USER.APP.0,1103.0000057142856,20,4,"[1, 0, 3, 12, 37, 113]",0.0
91,LINK,12,37,0,3.0000066666666667,M.USER.APP.0,1105.0000157142856,20,4,"[1, 0, 3, 12, 37, 113]",0.0
92,LINK,4,13,1,8.0000025,M.USER.APP.1,1106.0000108571428,20,4,"[2, 0, 1, 4, 13, 42]",0.0
91,LINK,37,113,0,8.0000025,M.USER.APP.0,1108.0000223809523,20,3,"[1, 0, 3, 12, 37, 113]",0.0
93,LINK,106,35,2,7.000014285714285,2_(0-5),1109.2000222857143,100,4,"[106, 35]",0.0
94,LINK,0,2,3,5.000004,M.USER.APP.3,1110.0000085714285,20,3,"[4, 1, 0, 2, 9, 30, 91]",0.0
95,LINK,3,10,4,2.00001,M.USER.APP.4,1110.0000085714285,20,4,"[5, 1, 0, 3, 10, 31, 94]",0.0
95,LINK,10,31,4,5.000004,M.USER.APP.4,1112.0000185714284,20,4,"[5, 1, 0, 3, 10, 31, 94]",0.0
92,LINK,13,42,1,8.0000025,M.USER.APP.1,1114.0000133571427,20,4,"[2, 0, 1, 4, 13, 42]",0.0
94,LINK,2,9,3,7.000002857142857,M.USER.APP.3,1115.0000125714284,20,4,"[4, 1, 0, 2, 9, 30, 91]",0.0
93,LINK,35,11,2,2.000045,2_(0-6),1116.5000365714286,90,3,"[35, 11]",0.0
91,LINK,113,37,0,8.00000375,0_(0-3),1116.600024880952,30,4,"[113, 37, 12, 3]",0.0
95,LINK,31,94,4,5.000004,M.USER.APP.4,1117.0000225714284,20,4,"[5, 1, 0, 3, 10, 31, 94]",0.0
94,LINK,9,30,3,5.000004,M.USER.APP.3,1122.0000154285713,20,3,"[4, 1, 0, 2, 9, 30, 91]",0.0
95,LINK,94,31,4,5.000006,4_(0-4),1122.9000265714283,30,2,"[94, 31]",0.0
91,LINK,37,12,0,3.00001,0_(0-3),1124.600028630952,30,2,"[113, 37, 12, 3]",0.0
94,LINK,30,91,3,6.000003333333333,M.USER.APP.3,1127.0000194285712,20,2,"[4, 1, 0, 2, 9, 30, 91]",0.0
91,LINK,12,3,0,2.000015,0_(0-3),1127.600038630952,30,2,"[113, 37, 12, 3]",0.0
95,LINK,31,10,4,5.000024,4_(0-6),1128.5000325714282,120,2,"[31, 10]",0.0
94,LINK,91,30,3,6.000038333333333,3_(0-6),1134.5000227619043,230,0,"[91, 30]",0.0
97,LINK,1,0,0,7.000002857142857,M.USER.APP.0,1151,20,0,"[1, 0, 3, 12, 37, 113]",0.0
98,LINK,2,0,1,5.000004,M.USER.APP.1,1151,20,1,"[2, 0, 1, 4, 13, 42]",0.0
99,LINK,3,11,2,10.000003,M.USER.APP.2,1151,30,2,"[3, 11, 35, 106]",0.0
100,LINK,4,1,3,5.000004,M.USER.APP.3,1151,20,3,"[4, 1, 0, 2, 9, 30, 91]",0.0
101,LINK,5,1,4,4.000005,M.USER.APP.4,1151,20,4,"[5, 1, 0, 3, 10, 31, 94]",0.0
102,LINK,6,20,5,3.000004,M.USER.APP.5,1151,12,5,"[6, 20, 61]",0.0
102,LINK,20,61,5,2.000006,M.USER.APP.5,1154.000004,12,5,"[6, 20, 61]",0.0
101,LINK,1,0,4,7.000002857142857,M.USER.APP.4,1155.000005,20,5,"[5, 1, 0, 3, 10, 31, 94]",2.9999978571427164
98,LINK,0,1,1,7.000002857142857,M.USER.APP.1,1156.000004,20,4,"[2, 0, 1, 4, 13, 42]",0.0
100,LINK,1,0,3,7.000002857142857,M.USER.APP.3,1156.000004,20,5,"[4, 1, 0, 2, 9, 30, 91]",9.000001714285645
102,LINK,61,20,5,2.0000205,5_(0-6),1157.5000099999997,41,5,"[61, 20, 6]",0.0
97,LINK,0,3,0,7.000002857142857,M.USER.APP.0,1158.0000028571428,20,5,"[1, 0, 3, 12, 37, 113]",0.0
102,LINK,20,6,5,3.000013666666667,5_(0-6),1159.5000304999996,41,5,"[61, 20, 6]",0.0
